user_id;USA;EU;ASIA;antiguedad;canciones_por_dia;generos_por_dia;dispositivos;proporcion_horas_de_trabajo;busquedas_por_dia;proporcion_canciones_de_moda;se_hizo_premium_0_1
1;1;0;0;267;28;3;5;0;0;0.02807482;0
2;1;0;0;242;30;4;2;0;0;0.024687337;0
3;1;0;0;265;27;3;3;0.567737496;8;0.015515292;1
4;0;0;1;88;10;1;1;0;2;0.017255847;0
5;0;0;1;225;62;5;3;0;20;0.000565837;1
6;0;0;1;49;46;3;2;0.455561098;14;0.005055767;0
7;1;0;0;202;42;4;1;0;4;4.54654E-05;0
8;0;0;1;108;56;3;2;0;9;0.009087716;0
9;0;1;0;215;27;2;1;0;5;0.009639278;0
10;0;1;0;94;59;3;2;0;17;0.008889126;0
11;1;0;0;212;42;5;1;0.629640904;3;0.01022649;1
12;1;0;0;140;35;3;1;0.309836638;0;0.006690327;0
13;0;0;1;150;40;4;3;0.794307046;0;0.023921941;0
14;0;1;0;94;86;4;3;0.20364994;0;0.002140282;0
15;1;0;0;193;34;3;1;0;6;0.013861244;0
16;1;0;0;191;53;5;1;0.124069692;0;0.006086876;0
17;0;0;1;166;27;2;1;0;9;0.024536675;0
18;0;0;1;49;38;3;1;0;12;0.003985153;0
19;0;0;1;27;15;3;3;0;9;0.057251835;0
20;0;1;0;216;56;3;4;0;0;0.01664417;0
21;1;0;0;79;24;2;2;0;14;0.004399833;0
22;1;0;0;302;54;4;2;0.593099482;5;0.010999455;0
23;1;0;0;40;20;3;1;0;10;0.01615178;0
24;0;1;0;170;47;4;2;0;17;0.012310882;1
25;0;1;0;167;20;3;3;0;18;0.02224181;1
26;0;0;1;183;39;2;2;0;16;0.018268212;0
27;0;0;1;230;28;3;3;0;0;0.012182531;0
28;1;0;0;66;51;4;3;0.546356461;4;0.015115126;0
29;0;0;1;7;4;1;3;0;3;0.158122299;0
30;0;1;0;194;55;4;1;0.954768443;2;0.013444293;1
31;1;0;0;104;17;3;3;0;12;0.021227403;0
32;0;1;0;257;45;3;3;0.429986766;0;0.006017547;0
33;0;0;1;40;31;2;1;0;13;0.014854509;0
34;0;0;1;114;76;5;2;0;0;0.005441903;0
35;0;1;0;281;62;5;3;0;13;0.015311371;0
36;1;0;0;242;17;4;1;0;11;0.009956782;0
37;0;1;0;301;66;4;3;0.562364216;0;0.009631674;0
